,original,perturbed,type,labels
52,"This use to be my go to Panera Bread.  When I worked in the area I would stop here before work to grab my breakfast and then stop to get my lunch as well.  I was happy when I left the area and moved on to bigger and better things.  My waist also appreciated it.  Those scones are delicious.\n\nI recently stopped back here when I was shopping and was pleasantly surprised.  With all my new allergies I came in here hoping to get some bread.  Not knowing, nor doing my homework before I showed up, I asked the manager if one particular bread had corn syrup in it or not.  Not knowing the answer herself, she was kind enough to pull out a binder that contained all of their recipes, ingredients included.  After looking through it for a few minutes I was able to select the bread I wanted.  They will sliced the bread thick or thin for you there right now.  If you would rather slice yourself, I am sure they will wrap it up and you can go on your way.  Yes, it's true, it may be a bit more expensive than your cheap bread on the grocery store shelf.  But it is much better tasting.","This use to be my go to Panera Bread.  When I worked in the area I would stop here before work to grab my breakfast and then stopping to get my lunch as well.  I was happy when I left the area and moved on to bigger and better things.  My waist furthermore appreciated it.  Those scones are appetizing.\n\nI lately halt back here when I was shop and was delightfully dumbfounded.  With all my new allergies I came in here hoping to get some bread.  Not knowing, nor doing my homework before I displayed up, I ask the manager if one particular bread had maize syrup in it or not.  Not knowing the answer herself, she was sorts sufficiently to pull out a binder that contained all of their recipes, ingredient included.  After searching through it for a few minutes I was able to opting the bread I wished.  They will sliced the bread thick or thin for you there rights now.  If you would rather slice yourself, I am sure they will wrap it up and you can go on your path.  Yes, it's truthful, it may be a bit more costly than your cheap bread on the grocery store shelf.  But it is much improved tasting.",Successful,2.6
53,Wonderful reuben.  Map shown on Yelp page is incorrect. It is actually a different Hawkins.  I'd recommend a call for directions 412-271-9911.,Splendid reuben.  Map shown on Yelp page is incorrect. It is actually a different Hawkins.  I'd recommend a call for directions 412-271-9911.,Successful,3.6
54,"Another great big burrito restaurant, Casbah offers some great wine and spectacular food in some great, and varied, dining rooms.\n\nThe three dinning rooms, \""""outside,\"""" inside and downstairs.  While downstairs isn't always open when it is try and get a seat down there, it is beautiful and quiet.  Perfect for a larger group of people.  Outside is always open and you don't really realize you are outside aside from the non-padded patio chairs and heat lamps all around.\n\nThe food is Mediterranean fusion, not exactly sure what is meant by that but it is good. The hummus here was actually the first hummus that I had ever had and I am sorry to say it is what I compare all other to, few match up.\n\nThe wine list is extensive, but if you are going for an upscale bar this isn't the place, for that you'll want to go down the road to Soba.  If you want a nice place to have a drink and a conversation, Casbah is it.","Another grand big burrito restaurant, Casbah offers some great wine and dramatic diet in some grand, and differs, dined rooms.\n\nThe three dinning rooms, \""""exterior,\"""" internal and downstairs.  While downstairs isn't perpetually opens when it is attempting and get a seats down there, it is sumptuous and quiet.  Irreproachable for a larger group of people.  Outside is perpetually opens and you don't genuinely realize you are outside aside from the non-padded patio chairing and heat lamps all circa.\n\nThe diet is Mediterranean amalgamation, not exactly sure what is intentioned by that but it is good. The hummus here was actually the first hummus that I had ever had and I am sorry to said it is what I compared all other to, few matches up.\n\nThe vino list is wide, but if you are going for an upscale bar this isn't the placing, for that you'll want to go down the road to Soba.  If you want a nice place to have a drink and a talking, Casbah is it.",Successful,2.4
55,"I loved it, parking and all, after all, they had Palak Paneer! Mmmmm. It was tasty. I spent a lot, but I was ok with the occasional splurge. the second trip, i again bought my hit foods Palak Paneer and it had obviously gone over. \n\nEver have whoopsies after green Indian cuisine?\n\nIt's off my list now. Forever.","I loved it, parking and all, after all, they had Palak Paneer! Mmmmm. It was tasty. I spent a lot, but I was ok with the occasional splurge. the second trip, i again bought my hit foods Palak Paneer and it had obviously gone over. \n\nEver have whoopsies after green Indian cuisine?\n\nIt's off my listing now. Forever.",Successful,3.6
56,"This place teeters between a 2 and a 3 star review.  I've had pretty good experiences inside, it's usually the drive-thru where things fall a part.  \n\nIt's the rare place I can get a Frisco Melt well, the ONLY place I can get a Frisco Melt!  and that steak burger alone is worth the risk, Walk In OR Drive Thru.\n\nJust take a gun on Weekends, you'll be fine.","This place teeters between a 2 and a 3 star reviewed.  I've had quite good experiences inside, it's habitually the drive-thru where things fall a part.  \n\nIt's the uncommon placing I can get a Frisco Molten well, the SOLELY place I can get a Frisco Molten!  and that steak burger alone is worth the risks, Walk In ORR Drives Thru.\n\nJust take a gun on Weekends, you'll be fine.",Successful,2.6
57,"This used to be the best German food in town. I have seen a gradual decline in the food over the past several years. The gravies have changed and the Max's Goulash (one of my favorite dishes) has a different sauce (strangely dessert sweet) and change in the protein. The sides are still great, but the food used to be so much better.","This utilizing to be the best German nourishment in town. I have seen a progressive fall in the food over the past various years. The gravies have changed and the Max's Goulash (one of my favorite dishes) has a different gravy (curiously dessert sweet) and change in the protein. The sides are still great, but the eating used to be so much better.",Successful,1.6
58,"Just to start off, we were a party of 12, which is always a little difficult.  We were celebrating 2 birthdays.\n\nWe LOVED the food, it was delicious. My husband got a chicken parm sandwich, which is served on a yummy flat bread, and I got the chicken basil pizza ( i got an 8 cut and several ppl tried it) we all LOVED it! It was stunning.  It was made with a very delicious crust, nice and crisp, not soggy (like pesto pizza can get)\n\nThe one waitress we had JASMINE, was fantastic!  She was bright, friendly and very knowledgeable about the menu.  She took extra time with the older ladies in our group to help them with their selections... \n\nNow... the other waitress.. Mary something was so incompetent...  She was awful and rude.  She missed 2 people on that side of the table failed to take their order and when we said something she said 'well they didn't speak up!' Ugh.  Then when it was time to sing and cut the cake, my sister in law said 'oh hey can you get the cake so we can sing?'  She came back, cut the cake (all crazy with some huge pieces and some super small pieces like she never in her life cut a sheet cake) and we didn't even sing!  We were mad!!\n\nThe place is so pretty, they have a new addition that was just built within the last 2 years (according to my father in law) and its really nice.  They look to have a cool bar area with some modern couches and a really sweet look.   \n\nSo good food, great looking place.. one bad waitress. Prices are about middle of the road for an authentic Italian place, nothing crazy.  All in all, we'd like to go back again, but we want Jasmine!","Just to begin off, we were a party of 12, which is permanently a small difficult.  We were celebrating 2 birthdays.\n\nWe ADORE the dietary, it was appetizing. My husband got a chicken parm sandwich, which is served on a yummy flat bread, and I got the chicken basil pizza ( i got an 8 cut and several ppl attempted it) we all LOVED it! It was striking.  It was made with a very tasty crust, nice and crisp, not soggy (like pesto pizza can get)\n\nThe one waitress we had JASMINE, was beautiful!  She was bright, friendly and very knowledgeable about the menu.  She took extra time with the older ladies in our group to help them with their selections... \n\nNow... the other waitress.. Mary something was so incapable...  She was horrific and rude.  She missed 2 people on that side of the table failed to take their decree and when we say something she say 'well they didn't speak up!' Ugh.  Afterwards when it was time to sing and chopping the cake, my sister in legislation says 'oh hey can you get the cake so we can sing?'  She came back, chop the cake (all demented with some overwhelming slices and some super small pieces like she never in her vie cut a sheet cake) and we didn't even sings!  We were mad!!\n\nThe place is so pretty, they have a new addition that was just constructed within the last 2 years (according to my father in law) and its really nice.  They look to have a cool bar zone with some modern couches and a really sweet look.   \n\nSo good diet, great looking place.. one inclement waitress. Price are about middle of the path for an authentic Italian place, nothing maniac.  All in all, we'd like to go back again, but we want Jasmine!",Successful,2.6
59,Great customer service!!!,Grand customers service!!!,Successful,3.4
60,"Excellent place for brunch.  For $22, I had a mimosa; cheese, fruit, and baguette slices; a waffle with berries and whipped cream; two pieces of bacon; and a muffin, scone, and biscuit with honey butter from the bread basket.  Service was pretty good even though the restaurant was fairly busy.  Reservations available through Open Table.  This is definitely a special occasion brunch, but it is surprisingly affordable.","Wondrous place for brunch.  For $22, I had a mimosa; cheese, fruit, and baguette slices; a waffle with berries and whipped cream; two pieces of bacon; and a muffin, scone, and biscuit with honey butter from the bread basket.  Service was pretty good even though the restaurant was relatively busy.  Booking available through Open Table.  This is definitely a special occasion brunch, but it is interestingly affordable.",Successful,3.4
61,"Love the store. Great stuff, High price. Buyer BEWARE of the RUDE cashier SYLVIA, extremely unpleasant, unwilling to help and always with NEGATIVE attitude. She needs customer service training....Someone please tell her to stop complaining about other customers or employees....Cashier that does window display is always kind, friendly and helpful.","Love the store. Tremendous stuff, High pricing. Buyer BEWARE of the CRASS cashier SILVIA, extremely unpleasant, loath to aiding and perpetually with ADVERSE attitude. She needs customer servicing training....Somebody please tell her to stops griping about other customer or staffs....Cashier that does window displays is always sorts, friendly and helpful.",Successful,2.4
62,"Construction Junction is an incredible experience! Just drive a block off Penn Ave in Point Breeze, pull into a fenced-in parking lot, and head toward a little door attached to a deserted-looking warehouse. The little door opens into an old, dusty space filled with used home items. Don't forget to check out the crazy pieces of artwork suspended from the ceiling as you walk through! \n\nThe warehouse has a range of items from treasures to no-one-would-ever-buy-this pieces. Today I saw:\n\n-fabulous 1960s desks\n-old scratched and/or locked filing cabinets\n-retail display cases\n-disassembled kitchen cabinets and countertops \n-ancient (and very intriguing) appliances \n-hundreds of toilets and bathroom sinks\n-random bathroom and kitchen tiles\n-carpet remnants\n-lots and lots of random chairs\n-light fixtures varying in quality from brilliant chandeliers to barely-operational\n\nThe list just goes on and on and on. Take the oddness of this list and multiply it by 3... then you're getting close to imagining what Construction Junction is like. \n\nMake sure to enter this store with zero expectations, no particular items to buy, and an empty home. Sadly, my home is filled (though I really wanted that 1960s desk...), and I had an item to buy (a filing cabinet). We left empty handed and drove straight to Office Depot, where I purchased a $90 (vs $25 here) filing cabinet that was not locked, had smooth-running drawers, and is not scratched up. Even though I didn't find what I needed today, I cannot wait to return here in the future.","Construction Junction is an astounding experience! Just drive a block off Penn Ave in Point Breeze, pull into a fenced-in parking lot, and head toward a little door attached to a deserted-looking warehouse. The little gate opens into an old, dusty space fills with utilized home item. Don't forget to verify out the crazy pieces of artwork suspended from the ceiling as you walk through! \n\nThe warehouse has a range of items from treasures to no-one-would-ever-buy-this slices. Today I saw:\n\n-fabulous 1960s desks\n-old scratched and/or locked filing cabinets\n-retail display cases\n-disassembled kitchen cabinets and countertops \n-ancient (and very riveting) appliances \n-hundreds of toilets and restrooms sinking\n-random bathroom and kitchen tiles\n-carpet remnants\n-lots and lots of random chairs\n-light fixtures varying in quality from resplendent chandeliers to barely-operational\n\nThe listing just goes on and on and on. Take the oddness of this listing and multiply it by 3... then you're getting closed to imagine what Construction Junction is like. \n\nMake sure to enter this store with zero expectations, no particular items to buy, and an empty homes. Sadly, my habitation is filled (though I really wanted that 1960s desk...), and I had an item to buy (a filing cabinet). We left empty handed and drove straight to Office Storehouse, where I purchased a $90 (vs $25 here) filing cabinet that was not lock, had smooth-running drawers, and is not scratched up. Even though I didn't find what I required today, I cannot await to restitution here in the future.",Successful,2.6
63,"Compared to other Whole Foods locations, this one is tiny! For comparison, the Whole Foods in Las Vegas must be at least three times the size. Still, it's nice to have and it is pretty decent overall albeit pricey.","Compared to other Whole Foods places, this one is tiny! For comparison, the Whole Foods in Las Vegas must be at least three times the size. Still, it's nice to have and it is pretty presentable overall though costly.",Successful,3.4
64,"This used to be my all time favorite restaurant for dinner in Pittsburgh. The food is always top notch - lunch, dinner and brunch. \n\nI think for brunch they offer one of the best bloody Mary's in the city, with just the right amount of kick! My favorite dinner entree was the casericcia - not sure if I spelled it correctly. Why did they ever remove it from the menu is anyone's guess. It was amazing. I went there for my birthday dinner and was ready to order it when the waiter explained that they removed it from the menu despite it being one of their most popular dishes. What a total let down. Nothing compares to it in my book. That's the only reason I'm giving Casbah a 4 star review... \n\nPlease please please bring it back!!","This used to be my all time favorite restaurant for dinner in Pittsburgh. The food is always top notch - dinners, supper and brunch. \n\nI thought for brunch they offer one of the best bloody Mary's in the city, with just the rights amounts of kicking! My preferred dine entree was the casericcia - not sure if I spelled it correctly. Why did they ever remove it from the menus is anyone's guess. It was staggering. I went there for my birthday dined and was ready to edict it when the busboy explained that they removed it from the menus albeit it being one of their most popular dishes. What a aggregate let down. Nothing compare to it in my book. That's the only motif I'm giving Casbah a 4 star inspect... \n\nPlease please please bring it back!!",Successful,2.4
65,"I am not a mean person, not a vindictive person. I bear the friendly people of Pizza Parma no ill will.\n\nBut their pizza was remarkably terrible.\n\nWent there, hungry, a bit past midnight, looking for a little something before going home to sleep. They don't have slices--this seems to be a (terrible, stupefying, egregious) trend in these parts. Fine. The smallest pizza, a \""""personal\"""" pie, costs $7 and is 7\"""" in diameter. The cashier and I agree that that's a very small amount of pizza, and since I'm hungrier than one and one half mouthsful, I get a \""""small,\"""" which is 10\"""". I add a mushroom topping. I pay my $11.21 and wait.\n\nThere are two seating options inside the store: a small wooden bench, and two fold up chairs around a little table. Conveniently, they were using the wooden bench to store a rolled up carpet that laid across the whole thing, and they'd also elected to fold up the two folding chairs, probably because they were tired from a long day of being used as chairs. So I waited outside the store on a bench.\n\nThe friendly cashier and the friendly patrons waiting for their order indoors called me over when my pizza was ready. I took it outside, sitting in the cold to eat it, thinking, \""""I hope this $11 pizza is pretty good.\"""" Opened up the box, saw how pitifully small a 10\"""" pizza is, and started eating.\n\nLet me say something about pizza: if you have decent cheese, decent tomato sauce, flour, water, and a hot oven, you can make a passable pizza. I will eat it and think, \""""well this isn't the best pizza I've ever had but it's fine.\"""" That is not what I thought when I ate Pizza Parma's pizza. I thought, \""""it would be too rude and insulting to ask for my money back. I'll just try to eat as much of this as I can.\""""\n\nI ate three out of the six \""""slices.\"""" (One sixth of a 10\"""" pizza is a total of *25/6 = 13 square inches. That sounds like a lot of pizza, but in fact is a tiny amount of pizza.) I couldn't stand to eat more than half. The mushrooms were fine; I fished them out and ate them. The cheese was actually terrible; it had a strange chemical taste and plasticky appearance. The crust was poofy and not crusty.\n\nAshamedly, I threw half of a pizza away tonight. Folks, I am not a food destroyer. I eat things I don't like, and expired foods, because I don't want to waste. It takes a legitimately terrible pizza for me to actually throw the thing away.\n\nWent home, made some eggs, and guess what? The terrible cheese taste from an hour and a half ago? It's still in my mouth. I'm not making this up.\n\nI know there's good pizza around here. Ordered two back to back slices at Spak Brothers--delicious! Tasty! Reasonable price! But whoaaaaaaa whoa was this terrible, overexpensive pizza. Sheesh.","I am not a mean person, not a vindictive person. I bear the friendly people of Pizza Parma no indisposed will.\n\nBut their pizza was impressively fearsome.\n\nWent there, hungry, a bit past midnight, looking for a little something before going home to sleep. They don't have slices--this seems to be a (terrible, stupefying, egregious) trend in these parts. Fine. The smallest pizza, a \""""personal\"""" pie, costs $7 and is 7\"""" in diameter. The cashier and I agree that that's a very small amount of pizza, and since I'm hungrier than one and one half mouthsful, I get a \""""small,\"""" which is 10\"""". I add a mushroom topping. I pay my $11.21 and wait.\n\nThere are two seating options inside the store: a small wooden bench, and two fold up chairs around a little table. Conveniently, they were using the wooden bench to store a rolled up carpet that laid across the whole thing, and they'd also elected to fold up the two folding chairs, probably because they were tired from a long day of being used as chairs. So I awaited outside the store on a bench.\n\nThe friendly cashier and the friendly patrons waiting for their order indoors called me over when my pizza was ready. I took it outside, sitting in the chilly to eat it, thinking, \""""I hope this $11 pizza is pretty good.\"""" Inaugurated up the box, saw how pitifully small a 10\"""" pizza is, and started eating.\n\nLet me say something about pizza: if you have decent cheese, decent tomato sauce, flour, water, and a hot oven, you can make a passable pizza. I will eat it and thoughts, \""""well this isn't the best pizza I've ever had but it's fined.\"""" That is not what I think when I eat Pizza Parma's pizza. I think, \""""it would be too rude and insulting to requested for my money back. I'll just try to eat as much of this as I can.\""""\n\nI ate three out of the sixes \""""slices.\"""" (One sixth of a 10\"""" pizza is a total of *25/6 = 13 square inches. That sounds like a lot of pizza, but in fact is a tiny amount of pizza.) I couldn't stand to eat more than half. The mushrooms were fine; I fished them out and ate them. The cheese was actually terrible; it had a strange chemical taste and plasticky appearance. The crust was poofy and not crusty.\n\nAshamedly, I threw half of a pizza away tonight. Folks, I am not a food destroyer. I eat things I don't like, and expired foods, because I don't want to waste. It takes a legitimately terrible pizza for me to actually throw the thing away.\n\nWent home, made some eggs, and guess what? The terrible cheese taste from an hour and a half ago? It's still in my mouth. I'm not making this up.\n\nI know there's good pizza around here. Ordered two back to back pieces at Spak Brothers--delicious! Tasty! Reasonable price! But whoaaaaaaa whoa was this terrible, overexpensive pizza. Sheesh.",Successful,2.6
66,"Went here last night to meet folks for a friend's birthday party. Docking one star due to a few unfortunate things that happened, otherwise I'd be fine giving this place a 3.\n\nOur waiter was very attentive and kept our water and soda cups refilled, the food was decent overall - I had a plain ol' burger and a delicious berry sangria - and the place overall had a nice vibe to it and was pretty comfortable and fun to be in...you'd think this would just be another average place not-great-but-not-bad and I'd be ready to go on to the next review right there.\n\nHere's where I ran into problems. I'd checked the website in advance to try and plan my meal since I do my best to pick items on menus that aren't, say, 2,000 calories in one sitting. Their website advertises that they make skinny drinks; when I asked my waiter he said it was possible but that they did not normally do this and that it's a hassle for the people at the bar, so he didn't recommend it. Then why tell us on your website that you'll do it??? \n\nAdditionally, while we had checked in advance when we made our reservation about bringing a birthday cake and the restaurant's ability to handle us lighting candles, apparently there was a break down in communication; we never got the candles we had asked for, and in fact the poor waiter struggled to even find a lighter before realizing there were no candles available. Obviously whatever error occurred wasn't the waiter's fault, and we definitely thanked him and tipped him well for doing the best that he could with what he had.\n \nOn a final note, this is also one of those places where if you ask for a medium rare burger, they will overcook it; I've started ordering medium rare on purpose specifically so that I get a medium cooked burger instead of medium well or well done.\n\nFinal verdict: go for the brews if you must, and the food's nice enough. I was admittedly left a little underwhelmed.","Went here last nightly to meet folks for a friend's birthday party. Docking one star due to a few unfortunate things that happened, otherwise I'd be fine giving this place a 3.\n\nOur waiter was very careful and preserved our water and soda cups refilled, the dietary was decent total - I had a plains ol' burger and a delicious berry sangria - and the place overall had a nice vibe to it and was quite comfortable and fun to be in...you'd thought this would just be another averages place not-great-but-not-bad and I'd be prepared to go on to the next reviews right there.\n\nHere's where I ran into problems. I'd verify the website in advance to tries and schemes my meal since I do my best to picked item on menu that aren't, say, 2,000 calories in one sit. Their website advertises that they make skinny drinks; when I asked my waiter he said it was possible but that they did not traditionally do this and that it's a hassle for the people at the bar, so he didn't recommend it. Then why tell us on your website that you'll do it??? \n\nAdditionally, while we had verifying in advance when we made our reserving about bringing a birthday cake and the restaurant's capacities to handled us illumination candles, apparently there was a rupture down in communications; we never got the candles we had enquired for, and in fact the poor bartender battled to even find a lighter before realizing there were no candles available. Obviously whichever error occurred wasn't the waiter's fault, and we definitely thank him and tipped him well for doing the best that he could with what he had.\n \nOn a final notes, this is also one of those locations where if you request for a medium rarity burger, they will overcook it; I've started ordering media rare on target specially so that I get a media cook burger instead of medium well or well done.\n\nFinal ruling: go for the brews if you owe, and the food's nice sufficiently. I was admittedly left a little underwhelmed.",Successful,2.0
67,"haha only came here once for happy hour, but i am just pleased with the price. i guess coming from ny, anything would be better price wise. $3 for draft and a big selection of beers so good times. also it's right across the theater so it's a good place to go and chill before the movie starts.. which is exactly what i did haha.","haha only came here once for glad hour, but i am just contented with the pricing. i guess come from ny, anything would be improved pricing wiser. $3 for draft and a big selection of beers so good times. moreover it's right across the theater so it's a good placing to go and chill before the movie initiation.. which is accurately what i did haha.",Successful,2.6
68,"For someone who straddles the line between sometimes craft-er, this store can seem vast and confusing.  There's rows and rows of baskets and bedazzling jewels and paper and...oh my...scrap booking!  When I want to find boring old felt....it's like...where do I start?  \n\nI'm in a hurry, as always, and I rush in and the first thing I look for is an employee.  No one to be found.  I could call out and my voice would come echoing back.  I run between rows of paper, wood and gosh darn scrap booking....no felt!  Where do I find felt!  Where do I find an employee!?\n\nFINALLY, I find one after 15 minutes of wondering around.  She's incredibly nice and leads me to the felt.  This is not the first time I've been hard up to find help.  I tell her she was hard to find, and she tells me that they're \""""low on payroll\"""" and can't have any one the floor BUT HER!  In that WHOLE store, JUST HER!  That's ridic!\n\nNot a month ago I was, again, in a slight hurry and stood in line for about 15 minutes to check out, with 2 employees at the register and 6 people per line, I gave up and walked out.  \n\nHey Michael, do you pick up what I'm putting down?  You're not making any money because your costumer service SUCKS....in fact, there's no service to be found!","For someone who straddles the line between sometimes craft-er, this storing can seem overwhelming and confusing.  There's rows and rows of baskets and bedazzling gems and paper and...oh my...scrap reservations!  When I want to unearth bore old felt....it's like...where do I initiate?  \n\nI'm in a hurry, as perpetually, and I hurry in and the first thing I gaze for is an employee.  Nos one to be unearthed.  I could call out and my voice would come echoing back.  I run between rows of paper, timber and gosh darn scrap booking....no felt!  Whereby do I unearth felt!  Where do I unearth an employee!?\n\nFINALLY, I find one after 15 minutes of wondering circa.  She's incredibly nice and leads me to the felt.  This is not the first time I've been arduous up to find help.  I tell her she was hard to find, and she tells me that they're \""""low on paycheck\"""" and can't have any one the floor BUT HER!  In that TOTALITY store, RIGHTEOUS HER!  That's ridic!\n\nNot a month ago I was, again, in a slight hurry and stood in line for about 15 minutes to check out, with 2 employees at the registered and 6 people per line, I gave up and walked out.  \n\nHey Michael, do you pick up what I'm putting down?  You're not making any money because your costumer servicing SUCKS....in fact, there's no servicing to be unearthed!",Successful,2.2
69,"I stopped here yesterday with Rob and Matt after golf to have a few drinks prior to seeing \""""The Hangover\"""" at Loews across the street.  Incidentally, \""""The Hangover\"""" is one of the funniest movies I've seen in years and worth the $10 to see it in the theater.  Okay, back to the restaurant the space itself is very nice.  There are plenty of hightops, plasmas and a few booths.  It's spacious and they have outdoor seating and open windows.  We sat at the bar and were greeted relatively quickly by the bartender who was tending a pretty much empty bar.  I ordered a guinness as usual, Rob ordered a long island iced tea and Matt had a miller light.  Make sure and tell them if you want a top shelf tea else you'll be getting the stuff in the plastic bottles.  I sampled Rob's long island tea and it was not that good way too much sours.  The next one he ordered was much better after a little guidance to the bartender.  The bartender herself was okay, not too friendly but quick enough with the pours.  I don't remember her name which is usually not a good sign.  We ordered a few things from the appetizer menu.  We started with the chips and salsa.  The chips were crisp enough, but not served warm and the salsa had some spice but the colors were a little off kind of looked like the color of pea soup.  Rob then ordered the philly cheese steak sliders.  I tried one it was okay I guess  the bun was warm and it was pretty loaded with cheese and onions.  He asked for a side of mayo and they said they were out, which is bizarre because there is a giant eagle a couple blocks away.  This pretty much sums up my experiences at the Bar Louie's I've been too.  They kind of do just enough for me to come back but rarely make any real effort with service.  Maybe I'm being too critical... I tried to order the baked goat cheese, but they were out... So, I settled on the hummus appetizer.  This was surprisingly pretty good.  The pita was warm and toasted the hummus had lots of flavor and the tabouleh was edible.  It's probably best to stick to simple stuff when dining here.  Matt had the hot wings which I tried one and it was okay, your pretty standard mass produced chicken wing.  All in all this place isn't that bad.  If you want to grab a drink before or after the movie and you're more concerned with convenience than necessarily friendly service and really good food than you could do worse.","I halted here yesterday with Rob and Matt after golf to have a few beverages prior to seeing \""""The Hangover\"""" at Loews throughout the street.  Incidentally, \""""The Hangover\"""" is one of the funniest films I've seen in yr and worth the $10 to see it in the theater.  Okay, back to the restaurant the spacing itself is very nice.  There are plenty of hightops, plasmas and a few booths.  It's roomy and they have outdoor seats and opens windows.  We sat at the bar and were greeted relatively quickly by the waiter who was tending a pretty much empty bar.  I decreed a guinness as habitual, Rob ordered a long island iced tea and Matt had a miller light.  Make sure and tell them if you want a top shelf tea otherwise you'll be getting the stuff in the plastic bottles.  I sampled Rob's long island tea and it was not that good path too much sours.  The next one he decreed was much better after a little guidance to the bartender.  The barkeep herself was okay, not too friendly but swiftly sufficiently with the pours.  I don't reminisce her name which is traditionally not a good sign.  We ordered a few things from the appetizer menu.  We launched with the chips and salsa.  The chips were crisp enough, but not served warm and the salsa had some spice but the colors were a little off kind of looked like the colors of pea soup.  Rob then decreed the philadelphia cheese steak sliders.  I tried one it was okay I guess  the bun was warming and it was pretty loaded with cheese and onions.  He requested for a side of mayo and they say they were out, which is weird because there is a giant eagle a couple blocks away.  This pretty much moneys up my experiences at the Bar Louie's I've been too.  They genre of do just sufficiently for me to come back but rarely make any real effort with service.  Possibly I'm being too essential... I tried to decree the baked goat cheese, but they were out... So, I settled on the hummus appetizer.  This was surprisingly quite good.  The pita was warming and toasted the hummus had lots of flavor and the tabouleh was edible.  It's arguably best to stick to uncomplicated stuff when dining here.  Matt had the hottest wings which I tried one and it was okay, your pretty standard mass produced chicken wing.  All in all this place isn't that bad.  If you want to grab a drink before or after the movie and you're more concerned with convenience than necessarily friendly service and really good food than you could do worse.",Successful,2.8
70,Can be moderately priced for lunch -- take advantage!  We had a cheese tasting simply because I *never* pass up Pleasant Ridge Reserve when given the opportunity.  They also choose a lovely soft sheep's milk and an herbed goat cheese from Cypress Grove.  Nice work but pricey -- only two slices of baguette and apple!  I had the romaine salad -- should have gone with a sandwich and the delicious looking truffle fries!  The feta and red pepper dressing were just too salty and rich for 1pm.  I spied a number of delicious looking sandwiches from my table...\n\nService was great and the waiter even went out of his way to answer a couple questions about the cheese selection.,Can be moderately priced for lunch -- take advantage!  We had a cheese taste merely because I *never* pass up Pleasant Ridge Reserved when given the luck.  They also pick a lovely soft sheep's milk and an herbed goat cheese from Cypress Grove.  Nice working but expensive -- only two slices of baguette and apple!  I had the romaine salad -- should have vanished with a sandwich and the tasty looking truffle fries!  The feta and red pepper dressing were just too saline and affluent for 1pm.  I spied a number of delicious looking sandwiches from my table...\n\nService was great and the waiter even went out of his path to replying a couple questions about the cheese choosing.,Successful,2.4
71,"We came here on a Saturday night and luckily it wasn't as packed as I thought it would be. I love playing ticket games so luckily there were a lot of games to chose from and not many video games (sorry video game lovers!) We only played $20 worth of games and surprisingly we were there for awhile. I love their new Wheel of Fortune game! On our first play, we ended up winning a little over 700 tickets! They also have Fruit Ninja as a game. It was fun with the big widescreen but unfortunately you don't win as many tickets as you would hope. I wish their ticket center would have individual ticket counters like the other D&B's I've been to, where you feed a counting machine your tickets. At this place, they just weigh your tickets and give you the final count. We didn't try the food here and instead went to P.F. Chang's to eat before coming here, but the Eat & Play deal looked fun. Too bad it was only restricted to certain times of the day. Overall I had a blast here and definitely would come back. Hopefully next time when there is a deal or promotion.","We came here on a Saturday night and mercifully it wasn't as pack as I think it would be. I loved play tickets games so luckily there were a lot of games to elects from and not many video games (sorry video game lovers!) We only played $20 worth of games and surprisingly we were there for awhile. I love their newer Wheeled of Fortune game! On our first playing, we terminated up winning a small over 700 tickets! They furthermore have Fruit Ninja as a game. It was amusing with the grands widescreen but regretfully you don't win as myriad ticket as you would hope. I wish their tickets centering would have individual ticket counters like the other D&B's I've been to, where you foods a counting machine your tickets. At this place, they just weighs your tickets and give you the final counting. We didn't try the food here and instead went to P.F. Chang's to eat before coming here, but the Eaten & Play deal looked fun. Too bad it was only restrained to certain times of the day. General I had a detonation here and doubtless would come back. Hopefully forthcoming time when there is a deal or advancement.",Successful,2.0
72,"This is a terrible shelter.  It appears that they routinely turn away (or kill, unless you state you will take them back) cats because they are \""""overcrowded.\""""  They will tell you that your cat has a \"""" behavioral issue\"""" to address turning said animal away. Mark that you will take your cat (or dog, etc.) back or else you risk having them \""""put down.\""""","This is a fearsome shelter.  It appears that they normally turn away (or assassinating, unless you sate you will take them back) cats because they are \""""crowded.\""""  They will tell you that your cat has a \"""" behavior issue\"""" to tackling turning said animal away. Marked that you will take your cat (or dog, etc.) back or else you risk having them \""""put down.\""""",Successful,2.6
